id,rate_avg_kg_hr,rate_detected_kg_hr,plume_count,timestamp_min,timestamp_max,latitude,longitude,nearest_well_api,nearest_well_operator,operator_number,distance_to_nearest_well_km,total_wells_within_500m,operator_wells_within_500m,confidence_score,purchaser_names
CH4_1B2_250m_-103.19741_31.28477?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,207.2621971031232,414.52,2,2025-04-16,2025-08-08,31.28477,-103.19741,389-34289,"VTX ENERGY OPERATING, LLC",101377,0.51,1,1,65.0,"[252017] ENERGY TRANSFER COMPANY; [255104] ETC TEXAS P/L, LTD; [698769] REGENCY FIELD SERVICES LLC; [100883] ET GATHERING & PROCESSING LLC"
CH4_1B2_250m_-103.14089_31.30446?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,143.68604230786352,431.06,1,2025-08-08,2025-08-08,31.30446,-103.14089,389-30199,"JETTA OPERATING COMPANY, INC.",432283,0.37,2,2,71.3,"[898000] WARREN PETROLEUM COMPANY; [836033] TARGA MIDSTREAM SERVICES LP; [897999] WARREN PETROLEUM COMPANY, LP; [237948] DYNEGY MIDSTREAM SERVICES, LP; [836037] TARGA MIDSTREAM SERVICES LLC"
CH4_1B2_250m_-103.23834_31.29159?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,99.47246232519294,397.89,1,2025-08-08,2025-08-08,31.29159,-103.23834,389-34689,"VTX ENERGY OPERATING, LLC",101377,0.23,5,5,80.6,"[252017] ENERGY TRANSFER COMPANY; [255104] ETC TEXAS P/L, LTD; [100883] ET GATHERING & PROCESSING LLC"
CH4_1B2_250m_-101.82003_32.32707?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,667.0305831724816,667.03,2,2025-01-01,2025-08-06,32.32707,-101.82003,317-42332,XTO ENERGY INC.,945936,0.39,8,5,47.1,"[945227] WTG GAS PROCESSING, L.P.; [252017] ENERGY TRANSFER COMPANY"
CH4_1B2_250m_-101.74440_32.39368?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,482.64346535238104,482.64,1,2025-08-06,2025-08-06,32.39368,-101.7444,317-36774,DIAMONDBACK E&P LLC,217012,0.23,4,3,68.4,"[945227] WTG GAS PROCESSING, L.P.; [102487] ETC GAS PROCESSING, LLC"
CH4_1B2_250m_-101.83587_32.29799?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,347.52688878723967,695.05,1,2025-08-06,2025-08-06,32.29799,-101.83587,317-35984,SCOUT ENERGY MANAGEMENT LLC,760218,0.23,4,4,81.2,"[945227] WTG GAS PROCESSING, L.P.; [102508] ETC SOUTH PERMIAN MIDSTREAM LLC; [945219] WTG SOUTH PERMIAN MIDSTREAM LLC"
CH4_1B2_250m_-101.79083_32.37585?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,330.41529128202285,330.42,1,2025-08-06,2025-08-06,32.37585,-101.79083,317-32260,R K PETROLEUM CORP.,687130,0.18,4,1,46.6,NULL
CH4_1B2_250m_-101.89001_32.21219?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,269.04141608776223,807.12,1,2025-08-06,2025-08-06,32.21219,-101.89001,317-37566,SCOUT ENERGY MANAGEMENT LLC,760218,0.05,3,2,76.5,"[100224] WTG GAS PROCESSING, LLC; [195959] DCP OPERATING COMPANY, LP; [945227] WTG GAS PROCESSING, L.P.; [102487] ETC GAS PROCESSING, LLC"
CH4_1B2_250m_-101.88794_32.11312?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,160.74764444424054,642.99,1,2025-08-06,2025-08-06,32.11312,-101.88794,317-44246,"CUTBOW OPERATING, LLC",195763,0.37,8,6,54.6,[665643] PINNACLE DOS PICOS LLC
CH4_1B2_250m_-101.85536_32.25057?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,91.4373653292498,274.31,1,2025-08-06,2025-08-06,32.25057,-101.85536,317-35474,DIAMONDBACK E&P LLC,217012,0.26,3,2,61.8,"[102487] ETC GAS PROCESSING, LLC; [945227] WTG GAS PROCESSING, L.P.; [100224] WTG GAS PROCESSING, LLC"
